Parallel, , , ,Thread, , ,
Size,Threads,Time, ,Size,Threads,Time
100,1,6.6192, ,100,1,13.4343
100,2,3.9217, ,100,2,5.73
100,3,3.0484, ,100,3,5.4138
100,4,2.5166, ,100,4,5.7926
200,1,48.1115, ,200,1,90.9529
200,2,29.7566, ,200,2,52.4837
200,3,23.7145, ,200,3,45.3508
200,4,15.4292, ,200,4,35.2257
500,1,1093.518, ,500,1,2104.0355
500,2,645.5864, ,500,2,1084.7325
500,3,362.7476, ,500,3,767.4601
500,4,340.7125, ,500,4,690.5507
1000,1,6231.8866, ,1000,1,13332.4453
1000,2,4809.6007, ,1000,2,8763.2211
1000,3,4919.4478, ,1000,3,7733.6236
1000,4,4463.0276, ,1000,4,6583.6006
